RANDOM GRAPHS ANALYSIS
==================================================

Graph 1: SW=42, Karger=42, Error=0.00%
Graph 2: SW=31, Karger=31, Error=0.00%
Graph 3: SW=151, Karger=151, Error=0.00%
Graph 4: SW=38, Karger=38, Error=0.00%
Graph 5: SW=74, Karger=74, Error=0.00%
Graph 6: SW=47, Karger=49, Error=4.26%
Graph 7: SW=56, Karger=56, Error=0.00%
Graph 8: SW=206, Karger=207, Error=0.49%
Graph 9: SW=172, Karger=174, Error=1.16%
Graph 10: SW=110, Karger=110, Error=0.00%
Graph 11: SW=198, Karger=207, Error=4.55%
Graph 12: SW=17, Karger=17, Error=0.00%
Graph 13: SW=62, Karger=62, Error=0.00%
Graph 14: SW=105, Karger=105, Error=0.00%
Graph 15: SW=148, Karger=148, Error=0.00%
Graph 16: SW=10, Karger=10, Error=0.00%
Graph 17: SW=106, Karger=114, Error=7.55%
Graph 18: SW=141, Karger=142, Error=0.71%
Graph 19: SW=146, Karger=146, Error=0.00%
Graph 20: SW=94, Karger=94, Error=0.00%
Graph 21: SW=101, Karger=102, Error=0.99%
Graph 22: SW=62, Karger=62, Error=0.00%
Graph 23: SW=206, Karger=207, Error=0.49%
Graph 24: SW=109, Karger=110, Error=0.92%
Graph 25: SW=183, Karger=183, Error=0.00%
Graph 26: SW=140, Karger=146, Error=4.29%
Graph 27: SW=168, Karger=172, Error=2.38%
Graph 28: SW=47, Karger=47, Error=0.00%
Graph 29: SW=191, Karger=191, Error=0.00%
Graph 30: SW=46, Karger=46, Error=0.00%
Graph 31: SW=76, Karger=77, Error=1.32%
Graph 32: SW=30, Karger=30, Error=0.00%
Graph 33: SW=57, Karger=57, Error=0.00%
Graph 34: SW=193, Karger=193, Error=0.00%
Graph 35: SW=59, Karger=59, Error=0.00%
Graph 36: SW=133, Karger=133, Error=0.00%
Graph 37: SW=47, Karger=47, Error=0.00%
Graph 38: SW=198, Karger=198, Error=0.00%
Graph 39: SW=11, Karger=11, Error=0.00%
Graph 40: SW=56, Karger=56, Error=0.00%
Graph 41: SW=173, Karger=177, Error=2.31%
Graph 42: SW=40, Karger=40, Error=0.00%
Graph 43: SW=117, Karger=118, Error=0.85%
Graph 44: SW=50, Karger=50, Error=0.00%
Graph 45: SW=161, Karger=161, Error=0.00%
Graph 46: SW=88, Karger=89, Error=1.14%
Graph 47: SW=202, Karger=216, Error=6.93%
Graph 48: SW=215, Karger=227, Error=5.58%
Graph 49: SW=162, Karger=165, Error=1.85%
Graph 50: SW=77, Karger=77, Error=0.00%
Graph 51: SW=15, Karger=15, Error=0.00%
Graph 52: SW=2, Karger=2, Error=0.00%
Graph 53: SW=79, Karger=79, Error=0.00%
Graph 54: SW=198, Karger=199, Error=0.51%
Graph 55: SW=80, Karger=83, Error=3.75%
Graph 56: SW=192, Karger=192, Error=0.00%
Graph 57: SW=71, Karger=72, Error=1.41%
Graph 58: SW=26, Karger=26, Error=0.00%
Graph 59: SW=223, Karger=226, Error=1.35%
Graph 60: SW=92, Karger=97, Error=5.43%
Graph 61: SW=207, Karger=210, Error=1.45%
Graph 62: SW=60, Karger=60, Error=0.00%
Graph 63: SW=70, Karger=70, Error=0.00%
Graph 64: SW=2, Karger=2, Error=0.00%
Graph 65: SW=125, Karger=129, Error=3.20%
Graph 66: SW=64, Karger=64, Error=0.00%
Graph 67: SW=139, Karger=141, Error=1.44%
Graph 68: SW=87, Karger=87, Error=0.00%
Graph 69: SW=19, Karger=19, Error=0.00%
Graph 70: SW=106, Karger=107, Error=0.94%
Graph 71: SW=129, Karger=129, Error=0.00%
Graph 72: SW=149, Karger=161, Error=8.05%
Graph 73: SW=10, Karger=10, Error=0.00%
Graph 74: SW=64, Karger=64, Error=0.00%
Graph 75: SW=81, Karger=81, Error=0.00%
Graph 76: SW=218, Karger=219, Error=0.46%
Graph 77: SW=203, Karger=206, Error=1.48%
Graph 78: SW=28, Karger=28, Error=0.00%
Graph 79: SW=42, Karger=42, Error=0.00%
Graph 80: SW=123, Karger=123, Error=0.00%
Graph 81: SW=211, Karger=212, Error=0.47%
Graph 82: SW=182, Karger=195, Error=7.14%
Graph 83: SW=68, Karger=69, Error=1.47%
Graph 84: SW=137, Karger=140, Error=2.19%
Graph 85: SW=197, Karger=198, Error=0.51%
Graph 86: SW=39, Karger=39, Error=0.00%
Graph 87: SW=111, Karger=113, Error=1.80%
Graph 88: SW=75, Karger=80, Error=6.67%
Graph 89: SW=32, Karger=32, Error=0.00%
Graph 90: SW=104, Karger=104, Error=0.00%
Graph 91: SW=182, Karger=182, Error=0.00%
Graph 92: SW=202, Karger=209, Error=3.47%
Graph 93: SW=12, Karger=12, Error=0.00%
Graph 94: SW=42, Karger=43, Error=2.38%
Graph 95: SW=130, Karger=130, Error=0.00%
Graph 96: SW=192, Karger=197, Error=2.60%
Graph 97: SW=49, Karger=49, Error=0.00%
Graph 98: SW=17, Karger=17, Error=0.00%
Graph 99: SW=142, Karger=142, Error=0.00%
Graph 100: SW=179, Karger=181, Error=1.12%

Average Error: 1.07%
