DENSE GRAPHS ANALYSIS
==================================================

Graph 1: SW=247, Karger=247, Error=0.00%
Graph 2: SW=142, Karger=142, Error=0.00%
Graph 3: SW=25, Karger=25, Error=0.00%
Graph 4: SW=106, Karger=106, Error=0.00%
Graph 5: SW=251, Karger=256, Error=1.99%
Graph 6: SW=280, Karger=286, Error=2.14%
Graph 7: SW=4, Karger=4, Error=0.00%
Graph 8: SW=1, Karger=1, Error=0.00%
Graph 9: SW=118, Karger=123, Error=4.24%
Graph 10: SW=34, Karger=34, Error=0.00%
Graph 11: SW=58, Karger=58, Error=0.00%
Graph 12: SW=295, Karger=303, Error=2.71%
Graph 13: SW=41, Karger=41, Error=0.00%
Graph 14: SW=194, Karger=198, Error=2.06%
Graph 15: SW=223, Karger=226, Error=1.35%
Graph 16: SW=42, Karger=42, Error=0.00%
Graph 17: SW=237, Karger=248, Error=4.64%
Graph 18: SW=183, Karger=183, Error=0.00%
Graph 19: SW=266, Karger=270, Error=1.50%
Graph 20: SW=55, Karger=55, Error=0.00%
Graph 21: SW=108, Karger=108, Error=0.00%
Graph 22: SW=44, Karger=44, Error=0.00%
Graph 23: SW=110, Karger=110, Error=0.00%
Graph 24: SW=140, Karger=143, Error=2.14%
Graph 25: SW=269, Karger=277, Error=2.97%
Graph 26: SW=281, Karger=281, Error=0.00%
Graph 27: SW=230, Karger=230, Error=0.00%
Graph 28: SW=258, Karger=265, Error=2.71%
Graph 29: SW=156, Karger=156, Error=0.00%
Graph 30: SW=309, Karger=309, Error=0.00%
Graph 31: SW=93, Karger=93, Error=0.00%
Graph 32: SW=276, Karger=276, Error=0.00%
Graph 33: SW=259, Karger=259, Error=0.00%
Graph 34: SW=197, Karger=197, Error=0.00%
Graph 35: SW=196, Karger=196, Error=0.00%
Graph 36: SW=205, Karger=205, Error=0.00%
Graph 37: SW=293, Karger=306, Error=4.44%
Graph 38: SW=66, Karger=66, Error=0.00%
Graph 39: SW=269, Karger=269, Error=0.00%
Graph 40: SW=208, Karger=211, Error=1.44%
Graph 41: SW=25, Karger=25, Error=0.00%
Graph 42: SW=275, Karger=277, Error=0.73%
Graph 43: SW=129, Karger=129, Error=0.00%
Graph 44: SW=3, Karger=3, Error=0.00%
Graph 45: SW=109, Karger=119, Error=9.17%
Graph 46: SW=37, Karger=37, Error=0.00%
Graph 47: SW=91, Karger=91, Error=0.00%
Graph 48: SW=148, Karger=148, Error=0.00%
Graph 49: SW=52, Karger=52, Error=0.00%
Graph 50: SW=293, Karger=298, Error=1.71%
Graph 51: SW=31, Karger=31, Error=0.00%
Graph 52: SW=209, Karger=209, Error=0.00%
Graph 53: SW=266, Karger=267, Error=0.38%
Graph 54: SW=207, Karger=214, Error=3.38%
Graph 55: SW=267, Karger=273, Error=2.25%
Graph 56: SW=263, Karger=263, Error=0.00%
Graph 57: SW=115, Karger=115, Error=0.00%
Graph 58: SW=162, Karger=162, Error=0.00%
Graph 59: SW=212, Karger=212, Error=0.00%
Graph 60: SW=271, Karger=273, Error=0.74%
Graph 61: SW=18, Karger=18, Error=0.00%
Graph 62: SW=140, Karger=147, Error=5.00%
Graph 63: SW=14, Karger=14, Error=0.00%
Graph 64: SW=109, Karger=111, Error=1.83%
Graph 65: SW=121, Karger=121, Error=0.00%
Graph 66: SW=134, Karger=134, Error=0.00%
Graph 67: SW=37, Karger=37, Error=0.00%
Graph 68: SW=230, Karger=230, Error=0.00%
Graph 69: SW=175, Karger=175, Error=0.00%
Graph 70: SW=170, Karger=173, Error=1.76%
Graph 71: SW=53, Karger=53, Error=0.00%
Graph 72: SW=309, Karger=309, Error=0.00%
Graph 73: SW=15, Karger=15, Error=0.00%
Graph 74: SW=85, Karger=85, Error=0.00%
Graph 75: SW=170, Karger=172, Error=1.18%
Graph 76: SW=101, Karger=101, Error=0.00%
Graph 77: SW=13, Karger=13, Error=0.00%
Graph 78: SW=294, Karger=297, Error=1.02%
Graph 79: SW=48, Karger=48, Error=0.00%
Graph 80: SW=140, Karger=140, Error=0.00%
Graph 81: SW=241, Karger=244, Error=1.24%
Graph 82: SW=288, Karger=290, Error=0.69%
Graph 83: SW=62, Karger=62, Error=0.00%
Graph 84: SW=98, Karger=98, Error=0.00%
Graph 85: SW=124, Karger=131, Error=5.65%
Graph 86: SW=9, Karger=9, Error=0.00%
Graph 87: SW=158, Karger=158, Error=0.00%
Graph 88: SW=265, Karger=265, Error=0.00%
Graph 89: SW=291, Karger=310, Error=6.53%
Graph 90: SW=132, Karger=132, Error=0.00%
Graph 91: SW=142, Karger=142, Error=0.00%
Graph 92: SW=136, Karger=141, Error=3.68%
Graph 93: SW=111, Karger=111, Error=0.00%
Graph 94: SW=10, Karger=10, Error=0.00%
Graph 95: SW=115, Karger=115, Error=0.00%
Graph 96: SW=227, Karger=234, Error=3.08%
Graph 97: SW=17, Karger=17, Error=0.00%
Graph 98: SW=11, Karger=11, Error=0.00%
Graph 99: SW=171, Karger=171, Error=0.00%
Graph 100: SW=35, Karger=35, Error=0.00%

Average Error: 0.84%
