SPARSE GRAPHS ANALYSIS
==================================================

Graph 1: SW=77, Karger=77, Error=0.00%
Graph 2: SW=83, Karger=85, Error=2.41%
Graph 3: SW=19, Karger=19, Error=0.00%
Graph 4: SW=58, Karger=58, Error=0.00%
Graph 5: SW=91, Karger=98, Error=7.69%
Graph 6: SW=48, Karger=48, Error=0.00%
Graph 7: SW=65, Karger=65, Error=0.00%
Graph 8: SW=13, Karger=13, Error=0.00%
Graph 9: SW=9, Karger=9, Error=0.00%
Graph 10: SW=120, Karger=120, Error=0.00%
Graph 11: SW=42, Karger=42, Error=0.00%
Graph 12: SW=54, Karger=54, Error=0.00%
Graph 13: SW=32, Karger=32, Error=0.00%
Graph 14: SW=24, Karger=24, Error=0.00%
Graph 15: SW=76, Karger=82, Error=7.89%
Graph 16: SW=31, Karger=31, Error=0.00%
Graph 17: SW=75, Karger=79, Error=5.33%
Graph 18: SW=67, Karger=67, Error=0.00%
Graph 19: SW=13, Karger=13, Error=0.00%
Graph 20: SW=18, Karger=18, Error=0.00%
Graph 21: SW=18, Karger=18, Error=0.00%
Graph 22: SW=77, Karger=77, Error=0.00%
Graph 23: SW=114, Karger=117, Error=2.63%
Graph 24: SW=63, Karger=63, Error=0.00%
Graph 25: SW=18, Karger=18, Error=0.00%
Graph 26: SW=97, Karger=104, Error=7.22%
Graph 27: SW=90, Karger=93, Error=3.33%
Graph 28: SW=78, Karger=78, Error=0.00%
Graph 29: SW=91, Karger=93, Error=2.20%
Graph 30: SW=18, Karger=18, Error=0.00%
Graph 31: SW=92, Karger=105, Error=14.13%
Graph 32: SW=84, Karger=90, Error=7.14%
Graph 33: SW=39, Karger=39, Error=0.00%
Graph 34: SW=29, Karger=29, Error=0.00%
Graph 35: SW=31, Karger=31, Error=0.00%
Graph 36: SW=11, Karger=11, Error=0.00%
Graph 37: SW=21, Karger=21, Error=0.00%
Graph 38: SW=22, Karger=22, Error=0.00%
Graph 39: SW=39, Karger=39, Error=0.00%
Graph 40: SW=45, Karger=45, Error=0.00%
Graph 41: SW=25, Karger=25, Error=0.00%
Graph 42: SW=90, Karger=100, Error=11.11%
Graph 43: SW=16, Karger=16, Error=0.00%
Graph 44: SW=88, Karger=88, Error=0.00%
Graph 45: SW=89, Karger=92, Error=3.37%
Graph 46: SW=83, Karger=83, Error=0.00%
Graph 47: SW=31, Karger=31, Error=0.00%
Graph 48: SW=12, Karger=12, Error=0.00%
Graph 49: SW=66, Karger=66, Error=0.00%
Graph 50: SW=20, Karger=20, Error=0.00%
Graph 51: SW=37, Karger=37, Error=0.00%
Graph 52: SW=2, Karger=2, Error=0.00%
Graph 53: SW=41, Karger=41, Error=0.00%
Graph 54: SW=92, Karger=101, Error=9.78%
Graph 55: SW=31, Karger=31, Error=0.00%
Graph 56: SW=5, Karger=5, Error=0.00%
Graph 57: SW=28, Karger=32, Error=14.29%
Graph 58: SW=58, Karger=59, Error=1.72%
Graph 59: SW=5, Karger=5, Error=0.00%
Graph 60: SW=39, Karger=39, Error=0.00%
Graph 61: SW=116, Karger=116, Error=0.00%
Graph 62: SW=54, Karger=54, Error=0.00%
Graph 63: SW=40, Karger=40, Error=0.00%
Graph 64: SW=68, Karger=73, Error=7.35%
Graph 65: SW=69, Karger=73, Error=5.80%
Graph 66: SW=49, Karger=49, Error=0.00%
Graph 67: SW=12, Karger=12, Error=0.00%
Graph 68: SW=53, Karger=53, Error=0.00%
Graph 69: SW=110, Karger=110, Error=0.00%
Graph 70: SW=34, Karger=34, Error=0.00%
Graph 71: SW=52, Karger=52, Error=0.00%
Graph 72: SW=11, Karger=11, Error=0.00%
Graph 73: SW=4, Karger=4, Error=0.00%
Graph 74: SW=4, Karger=4, Error=0.00%
Graph 75: SW=13, Karger=13, Error=0.00%
Graph 76: SW=17, Karger=17, Error=0.00%
Graph 77: SW=47, Karger=47, Error=0.00%
Graph 78: SW=95, Karger=95, Error=0.00%
Graph 79: SW=100, Karger=101, Error=1.00%
Graph 80: SW=41, Karger=41, Error=0.00%
Graph 81: SW=1, Karger=1, Error=0.00%
Graph 82: SW=10, Karger=10, Error=0.00%
Graph 83: SW=52, Karger=52, Error=0.00%
Graph 84: SW=100, Karger=103, Error=3.00%
Graph 85: SW=7, Karger=7, Error=0.00%
Graph 86: SW=84, Karger=95, Error=13.10%
Graph 87: SW=105, Karger=105, Error=0.00%
Graph 88: SW=48, Karger=48, Error=0.00%
Graph 89: SW=103, Karger=103, Error=0.00%
Graph 90: SW=121, Karger=123, Error=1.65%
Graph 91: SW=29, Karger=29, Error=0.00%
Graph 92: SW=3, Karger=3, Error=0.00%
Graph 93: SW=56, Karger=58, Error=3.57%
Graph 94: SW=86, Karger=86, Error=0.00%
Graph 95: SW=90, Karger=92, Error=2.22%
Graph 96: SW=69, Karger=69, Error=0.00%
Graph 97: SW=19, Karger=19, Error=0.00%
Graph 98: SW=50, Karger=50, Error=0.00%
Graph 99: SW=104, Karger=104, Error=0.00%
Graph 100: SW=12, Karger=12, Error=0.00%

Average Error: 1.38%
